what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1390550137712
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1390550139496
executed,command,,,"org.eclipse.mtj.launchShortcuts.run",1390550141654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550144710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550151241
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550157421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550158621
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1390550166548
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550168081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550173653
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550173972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550408966
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390550409953
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1390550414675
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1390550415256
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1390550415717
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550416213
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550445503
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1390550449051
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1390550451701
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1390550455098
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1390550456783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1390550457048
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1390550462303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1390550463972
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1390550465587
executed,command,,,"org.eclipse.mtj.launchShortcuts.run",1390550468753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550469383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550470457
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550472125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550514125
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390550514156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390550538845
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390553838747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390553849205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390553887218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390553899780
